Class ID	Parents
HP_0100526	HP_0002088|HP_0100606
HP_0007332	HP_0002266
HP_0000958	HP_0011121
HP_0040155	HP_0040156
HP_0002712	
HP_0030870	HP_0003312
HP_0008671	
HP_0001548	HP_0000098
HP_0006581	HP_0410042
HP_0003515	
HP_0100053	HP_0010171|HP_0010323
HP_0010946	HP_0010944
HP_0012027	HP_0025423|HP_0000969
HP_0009474	
HP_0007676	HP_0008053
HP_0001717	HP_0006704|HP_0003207
HP_0009643	HP_0009652|HP_0009837|HP_0009617
HP_0005586	HP_0000953
HP_0011872	HP_0003540
HP_0030030	HP_0002813
HP_0010060	HP_0010057|HP_0010175
HP_0001457	HP_0001446|HP_0001454
HP_0002911	
HP_0100574	HP_0012440|HP_0007378
HP_0006124	
HP_0009903	HP_0000502
HP_0004807	
HP_0004034	HP_0004032
HP_0009170	HP_0004216|HP_0004219|HP_0009847
HP_0004799	HP_0002256
HP_0100258	HP_0010442
HP_0008876	
HP_0410075	HP_0011013
HP_0003851	HP_0009809
HP_0005641	
HP_0010096	HP_0010084|HP_0010100
HP_0100862	HP_0009108
HP_0002657	HP_0002652
HP_0200126	
HP_0006337	HP_0006288
HP_0003247	HP_0000811
HP_0010533	HP_0012043
HP_0007304	
HP_0430013	HP_0430003
HP_0001304	HP_0001332
HP_0100634	HP_0100007|HP_0100568
HP_0011032	HP_0001939
HP_0004350	
HP_0007263	HP_0001272
HP_0000293	HP_0004426
HP_0040086	HP_0000830
HP_0031574	HP_0002006
HP_0025236	HP_0025235
HP_0001044	
HP_0002856	
HP_0008230	HP_0040171
HP_0100161	HP_0100093|HP_0100059
HP_0007700	HP_0000593
HP_0002820	
HP_0003643	HP_0004339
HP_0000553	HP_0012374
HP_0008648	HP_0100627
HP_0010877	HP_0000486
HP_0004610	HP_0003416
HP_0002504	HP_0009145|HP_0031306
HP_0008443	HP_0000925
HP_0100834	HP_0002250|HP_0007378
HP_0004386	HP_0012719|HP_0012649
HP_0010672	HP_0001832
HP_0012808	HP_0000366
HP_0002244	HP_0002242
HP_0006913	HP_0002120
HP_0006069	HP_0001216
HP_0008036	
HP_0008703	HP_0010766|HP_0000812
HP_0002011	HP_0012639
HP_0005719	
HP_0010245	HP_0009834|HP_0005920
HP_0030984	HP_0010996
HP_0007469	HP_0040211|HP_0007477|HP_0100872
HP_0000499	HP_0000492|HP_0001595
HP_0003431	HP_0040131|HP_0000762
HP_0100015	HP_0011235
HP_0030832	HP_0100832
HP_0010842	
HP_0004379	HP_0012379
HP_0011665	HP_0001638
HP_0002849	HP_0002733
HP_0007906	HP_0000501|HP_0012632
HP_0000890	HP_0000889
HP_0002037	HP_0004386|HP_0002250
HP_0030405	HP_0100634
