Class ID	Parents
DOID_0080006	DOID_0080001
DOID_0080116	DOID_0111139
DOID_0070007	DOID_0050569
DOID_10812	DOID_369|DOID_10811
DOID_8276	
DOID_2589	
DOID_0110243	DOID_83
DOID_6277	
DOID_850	DOID_0050161
DOID_0110260	DOID_83
DOID_3100	
DOID_0050096	DOID_8913
DOID_8097	DOID_0060534|DOID_3711
DOID_8309	
DOID_8394	DOID_5331
DOID_11003	
DOID_0050010	
DOID_6918	
DOID_483	DOID_484
DOID_14484	DOID_0050292
DOID_0110370	DOID_10584
DOID_0110353	DOID_10584
DOID_5402	DOID_0060114
DOID_3403	
DOID_8429	
DOID_12342	DOID_305|DOID_5875
DOID_10596	
DOID_0050583	
DOID_0050693	DOID_0050736
DOID_11347	
DOID_9917	
DOID_12114	
DOID_9764	
DOID_9555	
DOID_4192	
DOID_9943	
DOID_12863	
DOID_178	DOID_1287
DOID_8401	
DOID_2405	
DOID_12054	
DOID_251	DOID_8646
DOID_12527	DOID_9473
DOID_4463	DOID_4450
DOID_9884	DOID_423
DOID_0110730	DOID_14503
DOID_0110840	DOID_0110827
DOID_10008	
DOID_12899	DOID_10854
DOID_8521	
DOID_956	DOID_3192
DOID_3774	DOID_3070
DOID_11256	DOID_0050338
DOID_13910	DOID_13399
DOID_2411	DOID_3165
DOID_0111044	DOID_2214
DOID_9317	DOID_75
DOID_0111027	DOID_0111034
DOID_0110600	DOID_9562
DOID_13658	DOID_1829
DOID_12450	DOID_2355
DOID_5624	DOID_4830|DOID_5537
DOID_702	
DOID_13398	
DOID_9282	DOID_5614
DOID_7806	DOID_3185
DOID_2352	DOID_896
DOID_5588	DOID_3910|DOID_3112
DOID_9790	DOID_883
DOID_5379	DOID_2860
DOID_11311	
DOID_13819	DOID_0050339|DOID_9113
DOID_11729	DOID_0050338
DOID_13650	
DOID_7099	
DOID_7438	DOID_3605
DOID_5351	DOID_2155
DOID_1354	
DOID_7712	
DOID_7015	
DOID_1328	DOID_934
DOID_5530	DOID_3284|DOID_1749
DOID_8866	DOID_0060071
DOID_1175	
DOID_13994	DOID_2256
DOID_11103	DOID_11104
DOID_7350	DOID_533
DOID_118	DOID_0050829
DOID_11868	DOID_1240
DOID_7444	DOID_2615
DOID_0111061	DOID_1390
DOID_12710	
DOID_14445	DOID_1405
DOID_1295	
DOID_0050343	
DOID_1507	
DOID_303	DOID_150
DOID_5504	DOID_4844
DOID_10316	DOID_3082
DOID_9164	DOID_6050
DOID_0050453	DOID_2490
DOID_0050309	
DOID_0050326	
DOID_0050419	DOID_626
DOID_0060247	DOID_0111167
DOID_0050436	DOID_0050737
DOID_0110147	DOID_445
DOID_0110164	DOID_0050539
DOID_0110274	DOID_11724
DOID_6446	DOID_4933
DOID_4961	DOID_74
DOID_0110257	DOID_83
DOID_0110968	DOID_0050581
DOID_6293	DOID_0060090|DOID_3315
DOID_8505	DOID_0060039|DOID_8502
DOID_0090019	DOID_5295
